ANO;NIVEL;NIVEL_DSG;RESIDENT;cod
2011;8;Subsecção;30;13120303206
2011;8;Subsecção;17;13120303207
2011;8;Subsecção;131;13120303301
2011;8;Subsecção;57;13120303302
2011;8;Subsecção;206;13120303303
2011;8;Subsecção;44;13120303304
2011;8;Subsecção;219;13120303305
2011;8;Subsecção;202;13120303401
2011;8;Subsecção;191;13120303402
2011;8;Subsecção;376;13120303403
2011;8;Subsecção;27;13120303404
2011;8;Subsecção;76;13120303405
2011;8;Subsecção;3;13120303406
2011;8;Subsecção;14;13120303407
2011;8;Subsecção;336;13120303501
2011;8;Subsecção;113;13120303502
2011;8;Subsecção;310;13120303503
2011;8;Subsecção;276;13120303504
2011;8;Subsecção;297;13120303505
2011;8;Subsecção;121;13120303601
2011;8;Subsecção;115;13120303602
2011;8;Subsecção;146;13120303603
2011;8;Subsecção;46;13120303604
2011;8;Subsecção;30;13120303605
2011;8;Subsecção;58;13120303606
2011;8;Subsecção;24;13120303607
2011;8;Subsecção;22;13120303608
2011;8;Subsecção;443;13120303701
2011;8;Subsecção;0;13120303702
2011;8;Subsecção;165;13120303703
2011;8;Subsecção;3;13120303704
2011;8;Subsecção;23;13120303801
2011;8;Subsecção;175;13120303802
2011;8;Subsecção;240;13120303803
2011;8;Subsecção;500;13120303804
2011;8;Subsecção;0;13120303901
2011;8;Subsecção;223;13120303902
2011;8;Subsecção;276;13120303903
2011;8;Subsecção;92;13120303904
2011;8;Subsecção;19;13120303905
2011;8;Subsecção;117;13120303906
2011;8;Subsecção;167;13120304001
2011;8;Subsecção;516;13120304002
2011;8;Subsecção;98;13120304101
2011;8;Subsecção;192;13120304102
2011;8;Subsecção;70;13120304103
2011;8;Subsecção;82;13120304104
2011;8;Subsecção;11;13120304105
2011;8;Subsecção;34;13120304106
2011;8;Subsecção;10;13120304107
2011;8;Subsecção;174;13120304201
2011;8;Subsecção;117;13120304202
2011;8;Subsecção;50;13120304203
2011;8;Subsecção;0;13120304204
2011;8;Subsecção;0;13120304205
2011;8;Subsecção;0;13120304206
2011;8;Subsecção;38;13120304207
2011;8;Subsecção;146;13120304301
2011;8;Subsecção;130;13120304302
2011;8;Subsecção;0;13120304303
2011;8;Subsecção;0;13120304304
2011;8;Subsecção;0;13120304305
2011;8;Subsecção;115;13120304306
2011;8;Subsecção;1;13120304307
2011;8;Subsecção;0;13120304401
2011;8;Subsecção;21;13120304402
2011;8;Subsecção;36;13120304403
2011;8;Subsecção;222;13120304404
2011;8;Subsecção;266;13120304405
2011;8;Subsecção;296;13120304501
2011;8;Subsecção;111;13120304502
2011;8;Subsecção;247;13120304503
2011;8;Subsecção;69;13120304504
2011;8;Subsecção;296;13120304601
2011;8;Subsecção;138;13120304602
2011;8;Subsecção;78;13120304603
2011;8;Subsecção;53;13120304604
2011;8;Subsecção;37;13120304701
2011;8;Subsecção;23;13120304702
2011;8;Subsecção;16;13120304703
2011;8;Subsecção;30;13120304704
2011;8;Subsecção;93;13120304705
2011;8;Subsecção;50;13120304706
2011;8;Subsecção;99;13120304707
2011;8;Subsecção;645;13120304801
2011;8;Subsecção;59;13120304802
2011;8;Subsecção;288;13120304901
2011;8;Subsecção;195;13120304902
2011;8;Subsecção;0;13120305001
2011;8;Subsecção;17;13120305002
2011;8;Subsecção;217;13120305003
2011;8;Subsecção;60;13120305004
2011;8;Subsecção;60;13120305005
2011;8;Subsecção;105;13120305006
2011;8;Subsecção;57;13120305007
2011;8;Subsecção;207;13120305101
2011;8;Subsecção;274;13120305102
2011;8;Subsecção;139;13120305103
2011;8;Subsecção;54;13120305201
2011;8;Subsecção;63;13120305202
2011;8;Subsecção;10;13120305203
