ANO;GEO_COD;NIVEL;NIVEL_DSG;RESIDENT
2011;13120403802;8;Subsecção;42
2011;13120403803;8;Subsecção;113
2011;13120403804;8;Subsecção;53
2011;13120403805;8;Subsecção;52
2011;13120403901;8;Subsecção;338
2011;13120403902;8;Subsecção;398
2011;13120404001;8;Subsecção;261
2011;13120404101;8;Subsecção;7
2011;13120404102;8;Subsecção;354
2011;13120404201;8;Subsecção;453
2011;13120404301;8;Subsecção;0
2011;13120404302;8;Subsecção;365
2011;13120404401;8;Subsecção;313
2011;13120404402;8;Subsecção;53
2011;13120404403;8;Subsecção;0
2011;13120404501;8;Subsecção;318
2011;13120404502;8;Subsecção;124
2011;13120404601;8;Subsecção;276
2011;13120404602;8;Subsecção;214
2011;13120404701;8;Subsecção;115
2011;13120404702;8;Subsecção;14
2011;13120404703;8;Subsecção;134
2011;13120404704;8;Subsecção;91
2011;13120500101;8;Subsecção;102
2011;13120500102;8;Subsecção;60
2011;13120500103;8;Subsecção;428
2011;13120500104;8;Subsecção;29
2011;13120500105;8;Subsecção;36
2011;13120500106;8;Subsecção;8
2011;13120500201;8;Subsecção;181
2011;13120500202;8;Subsecção;120
2011;13120500203;8;Subsecção;274
2011;13120500204;8;Subsecção;22
2011;13120500205;8;Subsecção;48
2011;13120500206;8;Subsecção;28
2011;13120500207;8;Subsecção;32
2011;13120500208;8;Subsecção;37
2011;13120500209;8;Subsecção;100
2011;13120500210;8;Subsecção;39
2011;13120500211;8;Subsecção;0
2011;13120500301;8;Subsecção;23
2011;13120500302;8;Subsecção;315
2011;13120500303;8;Subsecção;371
2011;13120500401;8;Subsecção;20
2011;13120500402;8;Subsecção;49
2011;13120500403;8;Subsecção;42
2011;13120500404;8;Subsecção;98
2011;13120500405;8;Subsecção;101
2011;13120500406;8;Subsecção;47
2011;13120500407;8;Subsecção;108
2011;13120500408;8;Subsecção;0
2011;13120500409;8;Subsecção;84
2011;13120500410;8;Subsecção;70
2011;13120500501;8;Subsecção;47
2011;13120500502;8;Subsecção;397
2011;13120500503;8;Subsecção;135
2011;13120500504;8;Subsecção;191
2011;13120500505;8;Subsecção;10
2011;13120500601;8;Subsecção;200
2011;13120500602;8;Subsecção;24
2011;13120500603;8;Subsecção;98
2011;13120500604;8;Subsecção;18
2011;13120500605;8;Subsecção;31
2011;13120500701;8;Subsecção;0
2011;13120500702;8;Subsecção;207
2011;13120500703;8;Subsecção;64
2011;13120500704;8;Subsecção;83
2011;13120500705;8;Subsecção;75
2011;13120500801;8;Subsecção;66
2011;13120500802;8;Subsecção;179
2011;13120500803;8;Subsecção;129
2011;13120500804;8;Subsecção;106
2011;13120500805;8;Subsecção;102
2011;13120500806;8;Subsecção;39
2011;13120500807;8;Subsecção;19
2011;13120500901;8;Subsecção;350
2011;13120500902;8;Subsecção;0
2011;13120500903;8;Subsecção;214
2011;13120501001;8;Subsecção;216
2011;13120501002;8;Subsecção;258
2011;13120501003;8;Subsecção;48
2011;13120501004;8;Subsecção;176
2011;13120501005;8;Subsecção;351
2011;13120501101;8;Subsecção;197
2011;13120501102;8;Subsecção;29
2011;13120501103;8;Subsecção;93
2011;13120501104;8;Subsecção;47
2011;13120501105;8;Subsecção;25
2011;13120501106;8;Subsecção;71
2011;13120501107;8;Subsecção;45
2011;13120501108;8;Subsecção;93
2011;13120501201;8;Subsecção;23
2011;13120501202;8;Subsecção;64
2011;13120501203;8;Subsecção;0
2011;13120501204;8;Subsecção;18
2011;13120501205;8;Subsecção;93
2011;13120501206;8;Subsecção;6
2011;13120501207;8;Subsecção;71
2011;13120501208;8;Subsecção;19
